ID_PROVINCIA,PROVINCIA
1,VALENCIA
2,TERUEL
3,SEVILLA
4,BIZKAIA
5,NAVARRA
6,ALBACETE
7,TOLEDO
8,MURCIA
9,MADRID
10,ARABA/ALAVA
11,CACERES
12,MALAGA
13,"LAS PALMAS"
14,VALLADOLID
15,SORIA
16,CADIZ
17,ZARAGOZA
18,ZAMORA
19,GUADALAJARA
20,PONTEVEDRA
21,MELILLA
22,HUELVA
23,ALMERIA
24,LEON
25,AVILA
26,BURGOS
27,"ILLES BALEARS"
28,GIPUZKOA
29,JAEN
30,ASTURIAS
31,"STA. CRUZ DE TENERIFE"
32,PALENCIA
33,BADAJOZ
34,TARRAGONA
35,CANTABRIA
36,LLEIDA
37,SEGOVIA
38,LUGO
39,GRANADA
40,SALAMANCA
41,"LA RIOJA"
42,ALICANTE
43,"CIUDAD REAL"
44,OURENSE
45,CASTELLON
46,CEUTA
47,CUENCA
48,HUESCA
49,"A CORUÃ‘A"
50,BARCELONA
51,CORDOBA
52,GIRONA
